Postcode,Postcode Status,LSOA Code,LSOA Name,Index of Multiple Deprivation Rank,Index of Multiple Deprivation Decile,Income Rank,Income Decile,Income Score,Employment Rank,Employment Decile,Employment Score,Education and Skills Rank,Education and Skills Decile,Health and Disability Rank,Health and Disability Decile,Crime Rank,Crime Decile,Barriers to Housing & Services Rank,Barriers to Housing & Services Decile,Living Environment Rank,Living Environment Decile,IDACI Rank,IDACI Decile,IDACI Score,IDAOPI Rank,IDAOPI Decile,IDAOPI Score
S25 2TP,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2TQ,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2TR,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2TS,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2TT,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2TU,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2TW,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2TX,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2TY,Live,E01007786,Rotherham 029D E01007786,14398,5,14193,5,0.133,11142,4,0.131,12471,4,6309,2,18138,6,29830,10,22896,7,14032,5,0.176,15621,5,0.158
S25 2UE,Live,E01007789,Rotherham 028C E01007789,6667,3,5627,2,0.247,4051,2,0.217,3721,2,7808,3,14943,5,16595,6,25435,8,4611,2,0.349,10451,4,0.219
S25 2UF,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2UR,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2US,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2UT,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2UU,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2UX,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2UY,Live,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2WL,Terminated,E01007790,Rotherham 029E E01007790,1129,1,1326,1,0.37,1878,1,0.268,228,1,1012,1,3560,2,23761,8,14765,5,422,1,0.537,4106,2,0.343
S25 2WS,Terminated,E01007658,Rotherham 032A E01007658,20920,7,19194,6,0.094,15019,5,0.104,19718,7,14557,5,18544,6,30478,10,23690,8,16643,6,0.145,26962,9,0.074
S25 2WT,Terminated,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2WU,Terminated,E01007788,Rotherham 028B E01007788,11625,4,15627,5,0.12,12807,4,0.119,10966,4,12338,4,6756,3,3914,2,18445,6,13043,4,0.19,20987,7,0.112
S25 2WW,Terminated,E01007658,Rotherham 032A E01007658,20920,7,19194,6,0.094,15019,5,0.104,19718,7,14557,5,18544,6,30478,10,23690,8,16643,6,0.145,26962,9,0.074
