lsoa11cd,SP_ID,objectid,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,nonwhiteZoneProp.lsoa,pstaniZoneProp.lsoa,nonUKZoneProp.lsoa,proportionMuslim,proportionNonMuslim,antiSocialBehaviour,Burglary,violentCrime,allCrimePer1000Pop,IMD_rank,IMD_rank_inverse,IMD_rank_inverse_relative
E01007776,3744,3745,Rotherham 008B,Rotherham 008B,1098227.426857,5962.58557946519,4.90921318090114,0.47074646940148,5.17821116341627,1.21049092131809,93.62329164831355,55.817081371889714,6.724949562878279,4.707464694014795,94.1492938802959,7589,25255,107
E01007777,3745,3746,Rotherham 004A,Rotherham 004A,743230.30572,4554.48544987324,1.60891089108911,0,1.42326732673267,0.3094059405940594,94.52437662903758,58.78712871287129,3.7128712871287126,6.806930693069307,93.44059405940594,9019,23825,99
E01007778,3746,3747,Rotherham 005A,Rotherham 005A,1255708.9669415,8321.57695114252,1.57273918741809,0.196592398427261,1.8348623853211,0.327653997378768,94.50612857225286,40.62909567496723,13.10615989515072,1.3106159895150722,71.42857142857143,20535,12309,42
E01007779,3747,3748,Rotherham 005B,Rotherham 005B,995278.061001,5559.02107187905,3.34128878281623,0.477326968973747,2.30708035003978,0.7955449482895784,94.03823762134206,132.8560063643596,15.11535401750199,15.11535401750199,213.206046141607,2878,29966,140
E01007780,3748,3749,Rotherham 005C,Rotherham 005C,749053.9830715,4441.32217367756,1.98019801980198,1.06082036775106,2.19236209335219,0.9193776520509194,93.91440491758071,76.37906647807638,7.072135785007072,2.828854314002829,108.91089108910892,12036,20808,79
E01007781,3749,3750,Rotherham 005D,Rotherham 005D,354332.854623,3487.17150827976,1.24671916010499,0.459317585301837,2.03412073490814,0.39370078740157477,94.44008178223007,95.14435695538057,11.15485564304462,9.84251968503937,155.51181102362204,7396,25448,110
E01007782,3750,3751,Rotherham 005E,Rotherham 005E,606404.4285415,4134.21690422166,2.80936454849498,0.602006688963211,2.54180602006689,1.0033444816053512,93.83043808802628,66.22073578595318,7.357859531772575,4.682274247491638,121.07023411371237,6345,26499,118
E01007783,3751,3752,Rotherham 008C,Rotherham 008C,806217.33638,5726.33662768358,4.0621266427718,0.29868578255675,5.07765830346476,0.8363201911589008,93.99746237847273,70.48984468339307,10.752688172043012,17.323775388291516,146.35603345280765,6089,26755,119
E01007784,3752,3753,Rotherham 008D,Rotherham 008D,1386307.4335365,7439.92496629848,5.05394662123793,0.283929585462805,5.3946621237933,2.2146507666098807,92.61913180302176,101.64679159568426,30.664395229982965,17.035775127768314,332.1976149914821,4818,28026,125
E01007785,3753,3754,Rotherham 029C,Rotherham 029C,3582937.822384,13924.83111230092,1.25832716506292,0.074019245003701,1.99851961509993,0.22205773501110287,94.61172483462053,44.41154700222058,2.2205773501110286,2.9607698001480385,65.87712805329386,15145,17699,67
E01007786,3754,3755,Rotherham 029D,Rotherham 029D,294827.4857355,3535.94380430701,0.993377483443709,0,1.5728476821192101,0,94.83378256963164,46.35761589403974,1.6556291390728477,3.3112582781456954,62.913907284768214,14398,18446,69
E01007787,3755,3756,Rotherham 028A,Rotherham 028A,14184286.0398655,28037.04790095126,2.8169014084507,0.397255326832792,4.0808956301914,0.577825929938606,94.25595663969303,44.781509570241965,7.222824124232575,3.6114120621162873,75.47851209823041,19260,13584,50
