lsoa11cd,nonwhiteZoneProp.lsoa,pstaniZoneProp.lsoa,nonUKZoneProp.lsoa,proportionMuslim,proportionNonMuslim,antiSocialBehaviour,Burglary,violentCrime,allCrimePer1000Pop,IMD_rank,IMD_rank_inverse,IMD_rank_inverse_relative
E01007776,4.90921318090114,0.47074646940148,5.17821116341627,1.21049092131809,93.62329164831355,55.817081371889714,6.724949562878279,4.707464694014795,94.1492938802959,7589,25255,107
E01007777,1.60891089108911,0,1.42326732673267,0.3094059405940594,94.52437662903758,58.78712871287129,3.7128712871287126,6.806930693069307,93.44059405940594,9019,23825,99
E01007778,1.57273918741809,0.196592398427261,1.8348623853211,0.327653997378768,94.50612857225286,40.62909567496723,13.10615989515072,1.3106159895150722,71.42857142857143,20535,12309,42
E01007779,3.34128878281623,0.477326968973747,2.30708035003978,0.7955449482895784,94.03823762134206,132.8560063643596,15.11535401750199,15.11535401750199,213.206046141607,2878,29966,140
E01007780,1.98019801980198,1.06082036775106,2.19236209335219,0.9193776520509194,93.91440491758071,76.37906647807638,7.072135785007072,2.828854314002829,108.91089108910892,12036,20808,79
E01007781,1.24671916010499,0.459317585301837,2.03412073490814,0.39370078740157477,94.44008178223007,95.14435695538057,11.15485564304462,9.84251968503937,155.51181102362204,7396,25448,110
E01007782,2.80936454849498,0.602006688963211,2.54180602006689,1.0033444816053512,93.83043808802628,66.22073578595318,7.357859531772575,4.682274247491638,121.07023411371237,6345,26499,118
E01007783,4.0621266427718,0.29868578255675,5.07765830346476,0.8363201911589008,93.99746237847273,70.48984468339307,10.752688172043012,17.323775388291516,146.35603345280765,6089,26755,119
E01007784,5.05394662123793,0.283929585462805,5.3946621237933,2.2146507666098807,92.61913180302176,101.64679159568426,30.664395229982965,17.035775127768314,332.1976149914821,4818,28026,125
E01007785,1.25832716506292,0.074019245003701,1.99851961509993,0.22205773501110287,94.61172483462053,44.41154700222058,2.2205773501110286,2.9607698001480385,65.87712805329386,15145,17699,67
E01007786,0.993377483443709,0,1.5728476821192101,0,94.83378256963164,46.35761589403974,1.6556291390728477,3.3112582781456954,62.913907284768214,14398,18446,69
E01007787,2.8169014084507,0.397255326832792,4.0808956301914,0.577825929938606,94.25595663969303,44.781509570241965,7.222824124232575,3.6114120621162873,75.47851209823041,19260,13584,50
E01007788,1.79880079946702,0,1.73217854763491,0.6662225183211192,94.16756005131052,45.969353764157226,7.994670219853432,3.997335109926716,93.93737508327781,11625,21219,80
E01007789,1.48423005565863,0.247371675943105,2.78293135435993,0.1855287569573284,94.64825381267431,68.02721088435375,19.1713048855906,8.039579468150896,145.94928880643167,6667,26177,114
E01007790,2.8956228956229,0.0673400673400673,3.77104377104377,0.20202020202020202,94.63176236761143,183.83838383838383,20.202020202020204,23.56902356902357,402.69360269360266,1129,31715,152
E01007791,1.75054704595186,0,2.99051787016776,0.14587892049598833,94.68790364913565,125.45587162654998,17.505470459518598,10.940919037199125,188.18380743982496,3048,29796,137
E01007792,1.55902004454343,0.22271714922049,1.85597624350408,0,94.83378256963164,38.60430586488493,5.939123979213066,1.4847809948032664,77.95100222717149,28153,4691,9
E01007793,1.09809663250366,0,1.02489019033675,0,94.83378256963164,64.42166910688141,5.856515373352855,4.392386530014641,95.90043923865301,9722,23122,94
E01007794,2.65177948360084,0.767620376831821,2.16329378925331,1.1165387299371947,93.71724383969445,66.99232379623169,5.582693649685973,8.374040474528961,117.23656664340545,2918,29926,139
E01007795,1.04239054899236,0.0694927032661571,1.04239054899236,0.20847810979847115,94.62530445983316,19.457956914523976,6.949270326615705,2.0847810979847115,47.949965253648365,19430,13414,48
E01007796,1.47058823529412,0.69204152249135,0.69204152249135,0.6055363321799307,94.2282462374517,62.28373702422145,10.380622837370241,3.4602076124567476,115.91695501730104,5184,27660,121
E01007797,2.42290748898678,0.0734214390602056,2.34948604992658,0.4405286343612335,94.39325393527041,25.697503671071953,9.544787077826726,2.936857562408223,58.00293685756241,12381,20463,76
E01007798,1.58604282315623,0.0793021411578113,1.4274385408406,0.63441712926249,94.19936544036915,28.548770816812052,5.551149881046788,3.1720856463124503,61.06264869151467,22711,10133,31
E01007799,1.27298444130127,0.282885431400283,1.55586987270156,0.21216407355021216,94.62161849608142,54.45544554455446,10.608203677510609,12.022630834512023,110.32531824611033,9744,23100,93
E01007800,2.10312075983718,0,3.3921302578019,0.6105834464043419,94.22319912322729,123.47354138398914,16.960651289009498,18.99592944369064,280.8683853459973,7858,24986,104
E01007801,1.27431254191818,0.335345405767941,1.94500335345406,0.4024144869215292,94.43136808271011,41.58283031522468,10.731052984574111,2.012072434607646,110.66398390342053,24886,7958,18
E01007802,1.8796992481203,0.526315789473684,1.72932330827068,0.9774436090225564,93.85633896060908,36.84210526315789,5.263157894736842,3.7593984962406015,57.89473684210526,27267,5577,11
E01007657,1.65860400829302,0.345542501727713,2.34968901174845,0.55286800276434,94.2809145668673,34.55425017277125,2.073255010366275,3.4554250172771255,56.66897028334485,22783,10061,30
E01007658,1.36592379583034,0.0718907260963336,1.79726815240834,0.07189072609633358,94.76189184353531,70.4529115744069,14.378145219266715,12.940330697340043,127.96549245147375,20920,11924,38
E01007659,1.4808362369338,0.0871080139372822,1.56794425087108,0.2613240418118467,94.57245852781979,40.069686411149824,3.484320557491289,6.097560975609756,62.717770034843205,22949,9895,27
E01007660,1.22249388753056,0.24449877750611199,1.79299103504482,0.24449877750611246,94.58928379212553,21.189894050529748,5.704971475142624,1.6299918500407498,63.56968215158924,20478,12366,43
E01007661,1.9271948608137,0,2.35546038543897,0,94.83378256963164,24.26837972876517,5.710206995003569,3.5688793718772303,59.95717344753747,24831,8013,19
E01007662,0.966183574879227,0,0.869565217391304,0.2898550724637681,94.54392749716787,77.29468599033817,22.22222222222222,8.695652173913043,143.96135265700482,3017,29827,138
E01007663,1.57534246575342,0,1.98630136986301,0.0684931506849315,94.76528941894671,26.71232876712329,1.36986301369863,2.73972602739726,43.15068493150685,29415,3429,4
E01007664,0.485436893203883,0,1.29449838187702,0.2157497303128371,94.6180328393188,28.047464940668824,3.7756202804746497,3.236245954692557,50.70118662351672,21287,11557,37
E01007665,3.95604395604396,0.10989010989011,2.96703296703297,0.6043956043956045,94.22938696523603,50.54945054945055,4.945054945054945,3.2967032967032965,81.31868131868131,19171,13673,51
E01007666,1.76860722181282,0.0736919675755343,1.47383935151069,0.2947678703021371,94.5390146993295,53.05821665438467,16.949152542372882,4.421518054532056,102.43183492999263,21536,11308,34
E01007667,1.83958793230316,0.367917586460633,1.61883738042678,1.1037527593818985,93.73002981024973,81.67770419426049,1.4716703458425313,5.886681383370125,123.62030905077263,8393,24451,102
